# n ra dec fovra fovdec 
511 160.56258 -8.0 3.0 3.0  
512 163.59207 -8.0 3.0 3.0  
513 166.62155 -8.0 3.0 3.0  
514 169.65103 -8.0 3.0 3.0  
515 172.68051 -8.0 3.0 3.0  
516 175.71 -8.0 3.0 3.0  
517 178.73948 -8.0 3.0 3.0  
518 181.76896 -8.0 3.0 3.0  
519 184.79845 -8.0 3.0 3.0  
520 187.82793 -8.0 3.0 3.0  
521 190.85741 -8.0 3.0 3.0  
522 193.88689 -8.0 3.0 3.0  
523 196.91638 -8.0 3.0 3.0  
524 199.94586 -8.0 3.0 3.0  
525 202.97534 -8.0 3.0 3.0  
526 206.00482 -8.0 3.0 3.0  
527 209.03431 -8.0 3.0 3.0  
528 212.06379 -8.0 3.0 3.0  
529 215.09327 -8.0 3.0 3.0  
530 218.12276 -8.0 3.0 3.0  
531 221.15224 -8.0 3.0 3.0  
532 224.18172 -8.0 3.0 3.0  
533 227.2112 -8.0 3.0 3.0  
534 230.24069 -8.0 3.0 3.0  
535 233.27017 -8.0 3.0 3.0  
536 236.29965 -8.0 3.0 3.0  
537 239.32913 -8.0 3.0 3.0  
538 242.35862 -8.0 3.0 3.0  
539 245.3881 -8.0 3.0 3.0  
540 248.41758 -8.0 3.0 3.0  
541 251.44707 -8.0 3.0 3.0  
542 254.47655 -8.0 3.0 3.0  
543 257.50603 -8.0 3.0 3.0  
544 260.53551 -8.0 3.0 3.0  
545 263.565 -8.0 3.0 3.0  
546 266.59448 -8.0 3.0 3.0  
547 269.62396 -8.0 3.0 3.0  
548 272.65344 -8.0 3.0 3.0  
549 275.68293 -8.0 3.0 3.0  
550 278.71241 -8.0 3.0 3.0  
551 281.74189 -8.0 3.0 3.0  
552 284.77138 -8.0 3.0 3.0  
553 287.80086 -8.0 3.0 3.0  
554 290.83034 -8.0 3.0 3.0  
555 293.85982 -8.0 3.0 3.0  
556 296.88931 -8.0 3.0 3.0  
557 299.91879 -8.0 3.0 3.0  
558 302.94827 -8.0 3.0 3.0  
559 305.97775 -8.0 3.0 3.0  
560 309.00724 -8.0 3.0 3.0  
561 312.03672 -8.0 3.0 3.0  
562 315.0662 -8.0 3.0 3.0  
563 318.09569 -8.0 3.0 3.0  
564 321.12517 -8.0 3.0 3.0  
565 324.15465 -8.0 3.0 3.0  
566 327.18413 -8.0 3.0 3.0  
567 330.21362 -8.0 3.0 3.0  
568 333.2431 -8.0 3.0 3.0  
569 336.27258 -8.0 3.0 3.0  
570 339.30206 -8.0 3.0 3.0  
571 342.33155 -8.0 3.0 3.0  
572 345.36103 -8.0 3.0 3.0  
573 348.39051 -8.0 3.0 3.0  
574 351.42 -8.0 3.0 3.0  
575 354.44948 -8.0 3.0 3.0  
576 357.47896 -8.0 3.0 3.0  
577 3.01146 -5.0 3.0 3.0  
578 6.02292 -5.0 3.0 3.0  
579 9.03438 -5.0 3.0 3.0  
580 12.04584 -5.0 3.0 3.0  
581 15.0573 -5.0 3.0 3.0  
582 18.06876 -5.0 3.0 3.0  
583 21.08022 -5.0 3.0 3.0  
584 24.09168 -5.0 3.0 3.0  
585 27.10314 -5.0 3.0 3.0  
586 30.1146 -5.0 3.0 3.0  
587 33.12605 -5.0 3.0 3.0  
588 36.13751 -5.0 3.0 3.0  
589 39.14897 -5.0 3.0 3.0  
590 42.16043 -5.0 3.0 3.0  
591 45.17189 -5.0 3.0 3.0  
592 48.18335 -5.0 3.0 3.0  
593 51.19481 -5.0 3.0 3.0  
594 54.20627 -5.0 3.0 3.0  
595 57.21773 -5.0 3.0 3.0  
596 60.22919 -5.0 3.0 3.0  
597 63.24065 -5.0 3.0 3.0  
598 66.25211 -5.0 3.0 3.0  
599 69.26357 -5.0 3.0 3.0  
600 72.27503 -5.0 3.0 3.0  
601 75.28649 -5.0 3.0 3.0  
602 78.29795 -5.0 3.0 3.0  
603 81.30941 -5.0 3.0 3.0  
604 84.32087 -5.0 3.0 3.0  
605 87.33233 -5.0 3.0 3.0  
606 90.34379 -5.0 3.0 3.0  
607 93.35524 -5.0 3.0 3.0  
608 96.3667 -5.0 3.0 3.0  
609 99.37816 -5.0 3.0 3.0  
610 102.38962 -5.0 3.0 3.0  
611 105.40108 -5.0 3.0 3.0  
